time_s,counts
0.0,1000
0.1,1000
0.2,1000
0.3,999
0.4,1000
0.5,1000
0.6,1000
0.7,1000
0.8,1000
0.9,1000
1.0,1001
1.1,999
1.2,1000
1.3,1000
1.4,1001
1.5,1001
1.6,1001
1.7,1000
1.8,1000
1.9,1000
2.0,999
2.1,1000
2.2,1000
2.3,1001
2.4,1000
2.5,1000
2.6,1000
2.7,1000
2.8,999
2.9,999
3.0,1001
3.1,999
3.2,1000
3.3,999
3.4,1000
3.5,1000
3.6,1000
3.7,999
3.8,1000
3.9,1000
4.0,1000
4.1,1001
4.2,1001
4.3,1000
4.4,1000
4.5,999
4.6,1000
4.7,1000
4.8,1000
4.9,1001
5.0,1000
5.1,1001
5.2,1000
5.3,999
5.4,1000
5.5,999
5.6,1000
5.7,1000
5.8,999
5.9,1001
6.0,999
6.1,999
6.2,999
6.3,1001
6.4,1000
6.5,1000
6.6,1000
6.7,999
6.8,1000
6.9,1000
7.0,1000
7.1,999
7.2,1001
7.3,1001
7.4,1000
7.5,1000
7.6,999
7.7,1001
7.8,999
7.9,1000
8.0,1000
8.1,1000
8.2,1001
8.3,999
8.4,1000
8.5,999
8.6,1001
8.7,999
8.8,999
8.9,1001
9.0,1000
9.1,999
9.2,999
9.3,1000
9.4,999
9.5,1001
9.6,1000
9.7,1001
9.8,1000
9.9,999
10.0,1001
10.1,999
10.2,1001
10.3,1000
10.4,999
10.5,999
10.6,1000
10.7,999
10.8,1000
10.9,1000
11.0,1000
11.1,999
11.2,1000
11.3,1000
11.4,1001
11.5,999
11.6,999
11.7,1000
11.8,1001
11.9,1000
12.0,1000
12.1,999
12.2,1000
12.3,1000
12.4,999
12.5,1000
12.6,1000
12.7,1000
12.8,1001
12.9,1001
13.0,1000
13.1,1000
13.2,1000
13.3,1000
13.4,1000
13.5,1001
13.6,1000
13.7,1000
13.8,999
13.9,1000
14.0,1000
14.1,999
14.2,1000
14.3,1001
14.4,1001
14.5,1001
14.6,1001
14.7,1001
14.8,1000
14.9,1000
15.0,1000
15.1,1001
15.2,999
15.3,999
15.4,1000
15.5,1000
15.6,1000
15.7,999
15.8,1000
15.9,1000
16.0,1000
16.1,1001
16.2,1001
16.3,1000
16.4,999
16.5,1000
16.6,1001
16.7,1000
16.8,1001
16.9,999
17.0,1000
17.1,1000
17.2,1001
17.3,1000
17.4,1001
17.5,999
17.6,999
17.7,1001
17.8,1000
17.9,1001
18.0,999
18.1,999
18.2,999
18.3,1000
18.4,1000
18.5,999
18.6,1000
18.7,1001
18.8,1000
18.9,999
19.0,999
19.1,1001
19.2,1001
19.3,1001
19.4,1000
19.5,1000
19.6,1001
19.7,999
19.8,1001
19.9,1001
20.0,1000
20.1,1000
20.2,1000
20.3,1001
20.4,1000
20.5,1000
20.6,999
20.7,1001
20.8,1001
20.9,1000
21.0,999
21.1,1001
21.2,1000
21.3,1000
21.4,999
21.5,1001
21.6,999
21.7,999
21.8,1000
21.9,1000
22.0,1001
22.1,1000
22.2,1000
22.3,999
22.4,1000
22.5,1000
22.6,1000
22.7,1000
22.8,999
22.9,1001
23.0,1001
23.1,1000
23.2,999
23.3,1001
23.4,999
23.5,1000
23.6,1001
23.7,1001
23.8,1000
23.9,1000
24.0,1000
24.1,1000
24.2,1001
24.3,1000
24.4,1000
24.5,1001
24.6,1001
24.7,1000
24.8,999
24.9,1000
25.0,1000
25.1,1001
25.2,1000
25.3,1001
25.4,999
25.5,1001
25.6,999
25.7,1001
25.8,1000
25.9,999
26.0,1000
26.1,999
26.2,1000
26.3,999
26.4,999
26.5,999
26.6,1000
26.7,999
26.8,1000
26.9,1000
27.0,1001
27.1,999
27.2,1000
27.3,1000
27.4,1000
27.5,999
27.6,1000
27.7,1000
27.8,1000
27.9,1000
28.0,999
28.1,1000
28.2,1000
28.3,1000
28.4,1001
28.5,1000
28.6,1001
28.7,1000
28.8,1000
28.9,1001
29.0,1000
29.1,1001
29.2,1001
29.3,1000
29.4,1000
29.5,1002
29.6,1002
29.7,1001
29.8,1002
29.9,1001
30.0,1001
30.1,1002
30.2,1001
30.3,1003
30.4,1001
30.5,1002
30.6,1003
30.7,1004
30.8,1003
30.9,1005
31.0,1005
31.1,1005
31.2,1005
31.3,1007
31.4,1007
31.5,1008
31.6,1008
31.7,1008
31.8,1009
31.9,1010
32.0,1012
32.1,1013
32.2,1014
32.3,1016
32.4,1016
32.5,1017
32.6,1019
32.7,1021
32.8,1022
32.9,1024
33.0,1027
33.1,1028
33.2,1030
33.3,1032
33.4,1036
33.5,1038
33.6,1041
33.7,1044
33.8,1047
33.9,1050
34.0,1055
34.1,1059
34.2,1061
34.3,1065
34.4,1071
34.5,1074
34.6,1080
34.7,1083
34.8,1088
34.9,1094
35.0,1100
35.1,1106
35.2,1112
35.3,1116
35.4,1123
35.5,1131
35.6,1137
35.7,1143
35.8,1150
35.9,1157
36.0,1164
36.1,1172
36.2,1180
36.3,1188
36.4,1194
36.5,1203
36.6,1211
36.7,1219
36.8,1227
36.9,1235
37.0,1242
37.1,1250
37.2,1259
37.3,1266
37.4,1275
37.5,1282
37.6,1290
37.7,1299
37.8,1305
37.9,1313
38.0,1320
38.1,1326
38.2,1333
38.3,1340
38.4,1347
38.5,1353
38.6,1359
38.7,1364
38.8,1369
38.9,1374
39.0,1378
39.1,1382
39.2,1386
39.3,1389
39.4,1392
39.5,1395
39.6,1396
39.7,1398
39.8,1400
39.9,1400
40.0,1401
40.1,1400
40.2,1400
40.3,1399
40.4,1397
40.5,1395
40.6,1392
40.7,1390
40.8,1385
40.9,1383
41.0,1378
41.1,1374
41.2,1369
41.3,1364
41.4,1358
41.5,1353
41.6,1347
41.7,1341
41.8,1334
41.9,1328
42.0,1320
42.1,1313
42.2,1305
42.3,1299
42.4,1291
42.5,1283
42.6,1275
42.7,1267
42.8,1258
42.9,1251
43.0,1242
43.1,1235
43.2,1226
43.3,1217
43.4,1211
43.5,1202
43.6,1195
43.7,1188
43.8,1179
43.9,1171
44.0,1165
44.1,1157
44.2,1151
44.3,1144
44.4,1137
44.5,1129
44.6,1123
44.7,1117
44.8,1110
44.9,1106
45.0,1101
45.1,1094
45.2,1090
45.3,1084
45.4,1080
45.5,1076
45.6,1071
45.7,1067
45.8,1061
45.9,1059
46.0,1055
46.1,1051
46.2,1047
46.3,1045
46.4,1042
46.5,1039
46.6,1036
46.7,1034
46.8,1031
46.9,1029
47.0,1028
47.1,1025
47.2,1023
47.3,1023
47.4,1021
47.5,1019
47.6,1018
47.7,1018
47.8,1015
47.9,1015
48.0,1015
48.1,1014
48.2,1012
48.3,1012
48.4,1013
48.5,1010
48.6,1011
48.7,1011
48.8,1011
48.9,1011
49.0,1010
49.1,1010
49.2,1009
49.3,1009
49.4,1010
49.5,1011
49.6,1011
49.7,1011
49.8,1012
49.9,1013
50.0,1012
50.1,1013
50.2,1013
50.3,1015
50.4,1014
50.5,1016
50.6,1016
50.7,1018
50.8,1018
50.9,1020
51.0,1020
51.1,1022
51.2,1022
51.3,1024
51.4,1026
51.5,1026
51.6,1027
51.7,1028
51.8,1031
51.9,1033
52.0,1035
52.1,1035
52.2,1037
52.3,1040
52.4,1042
